leistung,rechtsnorm,zielgruppen,themenfelder,category,sub_category,zielgruppe1,zielgruppe2,themenfeld1,themenfeld2
"Leistungen zur Eingliederung in Arbeit, Beratung für sicherungsempfangende Arbeitssuchende.",§ 14 Abs. 2 Grundsatz des Förderns SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Potentialanalyse und Kooperationsplan.",§ 15 Potenzialanalyse und Kooperationsplan SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Kommunale Eingliederungsleistungen dazu gehören die Betreuung minderjähriger Kinder oder von Kindern mit Behinderungen oder die häusliche Pflege von Angehörigen, Schuldnerberatung, psychosoziale Betreuung und  Suchtberatung.",§ 16a Kommunale Eingliederungsleistungen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Einstiegsgeld.",§ 16b Einstiegsgeld SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Leistungen zur Eingliederung von Selbstständigen z. B. Darlehen oder Zuschüsse.",§ 16c Leistungen zur Eingliederung von Selbständigen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Förderung von Arbeitsgelegenheiten.",§ 16d Arbeitsgelegenheiten SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Eingliederung von Langzeitarbeitslosen (2+ Jahre).",§ 16e Eingliederung von Langzeitarbeitslosen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Freie Förderung.",§ 16f Freie Förderung SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Förderung schwer zu erreichender junger Menschen.",§ 16h Förderung schwer zu erreichender junger Menschen SGB II,['Jugendliche'],['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Eingliederung von Langzeitarbeitslosen (sechs der letzten sieben Kalenderjahre).",§ 16i Teilhabe am Arbeitsmarkt SGB II,['Jedes Alter'],['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jedes Alter,,Arbeit,Grundsicherung
"Leistungen zur Eingliederung in Arbeit, Ganzheitliche Betreuung.",§ 16k Ganzheitliche Betreuung SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, ALG2/ Bürgergeld - Erwerbsalter (Regelbedarf).",§ 20 Regelbedarf zur Sicherung des Lebensunterhalts SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf für werdende Mütter.",§ 21 Abs 2. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf für Alleinerziehende.",§ 21 Abs 3. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf bei Behinderung.",§ 21 Abs 4. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf für medizinisch bedingte kostenaufwendige Ernährung.",§ 21 Abs 5. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf für besondere Umstände.",§ 21 Abs 6. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf für Schulbücher und gleichstehende Arbeitshefte.",§ 21 Abs 6a. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Mehrbedarf für dezentrale Warmwassererzeugung.",§ 21 Abs 7. Mehrbedarfe SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts - Bürgergeld, Kosten der Unterkunft.",§ 22 Bedarfe für Unterkunft und Heizung SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Einzelfalldarlehen für nicht deckbare Bedarfsansprüche.",§ 24 Abs. 1 Abweichende Erbringung von Leistungen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, den Regelbedarf ganz oder anteilig ersetzende Sachleistungen.",§ 24 Abs. 2 Abweichende Erbringung von Leistungen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Erstausstattung für die Wohnung.",§ 24 Abs. 3 Satz 1 Abweichende Erbringung von Leistungen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Erstausstattung bei Schwangerschaft und Geburt.",§ 24 Abs. 3 Satz 2 Abweichende Erbringung von Leistungen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
